0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2021-01-08 00:00:00,6170,0,0,1,0,4,6,8,13,28,31,68,128,211,296,376,636,766,1125,1197,1276
2,2021-01-15 00:00:00,8210,0,0,0,0,1,3,3,13,32,52,100,149,248,372,490,774,1090,1430,1584,1869
3,2021-01-22 00:00:00,9066,0,0,0,0,1,1,11,12,33,52,96,166,276,399,539,887,1177,1587,1773,2056
4,2021-01-29 00:00:00,8006,0,0,0,0,1,3,3,20,28,39,77,152,240,374,476,729,1011,1326,1614,1913
5,2021-02-05 00:00:00,6197,0,0,0,0,4,2,6,14,27,43,87,138,179,300,379,587,790,1024,1182,1435
6,2021-02-12 00:00:00,4647,0,0,0,0,0,4,3,10,14,17,58,106,167,254,354,459,590,743,855,1013
7,2021-02-19 00:00:00,3516,0,0,0,1,0,1,6,9,13,27,36,69,143,224,273,360,469,518,613,754
8,2021-02-26 00:00:00,2409,0,0,0,0,0,1,4,5,16,18,27,55,96,163,182,244,293,361,452,492
9,2021-03-05 00:00:00,1648,0,0,0,0,1,0,3,5,6,8,24,49,70,117,156,150,210,256,284,309
10,2021-03-12 00:00:00,1142,0,0,0,1,0,0,1,2,5,8,15,46,74,71,94,130,138,159,198,200
11,2021-03-19 00:00:00,764,0,0,0,1,0,1,0,1,3,4,15,23,39,68,52,73,83,122,130,149
12,2021-03-26 00:00:00,575,0,0,0,0,1,0,0,4,2,5,12,22,28,45,49,50,68,68,105,116
13,2021-04-02 00:00:00,369,0,0,0,0,0,0,0,7,4,4,9,14,26,27,29,29,40,59,55,66
14,2021-04-09 00:00:00,291,0,0,0,0,0,1,0,1,2,4,3,7,19,19,22,14,40,47,57,55
15,2021-04-16 00:00:00,243,0,0,0,0,0,0,0,1,2,3,4,8,10,18,20,23,27,39,47,41
16,2021-04-23 00:00:00,196,0,0,0,0,0,1,0,0,0,2,3,4,9,16,20,23,14,36,33,35
17,2021-04-30 00:00:00,136,0,0,0,0,0,0,0,0,2,1,3,6,4,8,14,19,16,21,23,19
18,2021-05-07 00:00:00,113,0,0,0,0,0,0,1,0,0,1,1,4,6,9,9,10,16,15,20,21
19,2021-05-14 00:00:00,91,0,0,0,0,0,0,1,0,0,0,3,6,6,6,16,7,10,14,12,10
20,2021-05-21 00:00:00,74,0,0,0,0,0,0,0,1,1,1,2,0,4,3,9,6,4,12,18,13
21,2021-05-28 00:00:00,72,0,0,0,0,0,0,0,0,1,1,2,4,6,5,12,5,6,8,11,11
22,2021-06-04 00:00:00,73,0,0,0,0,0,0,0,2,1,2,2,1,2,6,10,9,9,11,11,7
23,2021-06-11 00:00:00,77,0,0,0,1,0,0,1,0,2,0,4,3,8,6,2,6,8,15,8,13
24,2021-06-18 00:00:00,80,0,0,0,0,0,0,1,1,0,4,4,0,9,6,8,6,9,12,7,13
25,2021-06-25 00:00:00,113,0,0,0,0,0,0,2,3,1,3,4,4,7,13,6,11,14,8,20,17
26,2021-07-02 00:00:00,140,0,0,0,0,3,1,0,0,5,6,3,7,7,10,7,12,26,18,18,17
27,2021-07-09 00:00:00,196,1,0,0,0,0,0,0,1,0,7,9,15,11,11,13,18,22,27,36,25
28,2021-07-16 00:00:00,269,0,0,0,0,0,2,3,2,4,6,7,14,15,17,27,21,44,39,33,35
29,2021-07-23 00:00:00,445,0,0,0,0,2,2,4,3,6,16,10,18,25,36,37,41,47,67,65,66
30,2021-07-30 00:00:00,501,0,0,0,0,0,3,0,6,10,9,18,28,18,33,50,53,60,65,76,72
31,2021-08-06 00:00:00,562,1,0,0,0,0,1,5,2,12,12,12,20,46,50,56,57,58,91,63,76
32,2021-08-13 00:00:00,560,0,0,0,0,0,3,4,3,6,11,16,23,38,39,46,49,79,95,79,69
33,2021-08-20 00:00:00,637,0,0,1,0,0,2,2,5,9,15,22,23,38,50,44,68,89,92,80,97
34,2021-08-27 00:00:00,736,0,0,2,0,1,0,2,4,10,10,15,27,41,46,60,70,97,123,124,104
35,2021-09-03 00:00:00,788,1,0,0,0,1,1,1,3,11,8,21,26,57,38,68,94,109,110,112,127
