0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2021-01-08 00:00:00,3312,0,0,0,0,2,4,6,8,18,17,44,79,125,197,212,388,438,630,607,537
2,2021-01-15 00:00:00,4360,0,0,0,0,0,1,3,8,18,35,56,87,159,226,309,462,656,815,795,730
3,2021-01-22 00:00:00,4727,0,0,0,0,1,1,4,8,24,33,61,110,165,256,327,549,703,835,866,784
4,2021-01-29 00:00:00,4104,0,0,0,0,1,2,1,11,18,22,54,82,160,240,290,425,589,722,765,722
5,2021-02-05 00:00:00,3277,0,0,0,0,4,1,3,8,16,25,50,89,122,190,245,377,464,565,590,528
6,2021-02-12 00:00:00,2478,0,0,0,0,0,3,2,5,12,10,32,67,116,169,217,283,349,386,433,394
7,2021-02-19 00:00:00,1886,0,0,0,0,0,1,2,8,4,15,20,38,89,155,175,224,273,293,309,280
8,2021-02-26 00:00:00,1276,0,0,0,0,0,1,2,3,7,12,15,29,52,110,115,149,171,202,219,189
9,2021-03-05 00:00:00,913,0,0,0,0,1,0,2,4,2,4,14,24,46,74,98,99,140,147,133,125
10,2021-03-12 00:00:00,641,0,0,0,0,0,0,0,1,4,4,7,30,49,51,60,82,74,94,101,84
11,2021-03-19 00:00:00,427,0,0,0,1,0,1,0,1,2,3,9,19,26,46,33,41,53,67,71,54
12,2021-03-26 00:00:00,306,0,0,0,0,1,0,0,1,1,3,8,14,21,27,28,31,36,42,52,41
13,2021-04-02 00:00:00,196,0,0,0,0,0,0,0,4,1,4,4,8,13,19,19,17,22,31,26,28
14,2021-04-09 00:00:00,160,0,0,0,0,0,0,0,1,1,3,2,4,15,8,14,10,23,26,31,22
15,2021-04-16 00:00:00,135,0,0,0,0,0,0,0,1,2,2,3,6,5,11,10,16,15,21,24,19
16,2021-04-23 00:00:00,106,0,0,0,0,0,0,0,0,0,1,2,2,6,11,12,14,8,19,14,17
17,2021-04-30 00:00:00,71,0,0,0,0,0,0,0,0,1,0,2,4,2,4,10,12,9,10,12,5
18,2021-05-07 00:00:00,68,0,0,0,0,0,0,1,0,0,1,1,1,4,6,8,7,11,12,11,5
19,2021-05-14 00:00:00,41,0,0,0,0,0,0,0,0,0,0,3,4,5,3,6,2,3,8,5,2
20,2021-05-21 00:00:00,39,0,0,0,0,0,0,0,1,0,0,0,0,3,1,6,4,2,5,10,7
21,2021-05-28 00:00:00,39,0,0,0,0,0,0,0,0,1,1,1,1,3,2,10,3,4,4,6,3
22,2021-06-04 00:00:00,35,0,0,0,0,0,0,0,1,0,2,0,1,1,4,4,6,3,4,9,0
23,2021-06-11 00:00:00,40,0,0,0,0,0,0,0,0,1,0,2,1,4,3,1,4,4,8,5,7
24,2021-06-18 00:00:00,52,0,0,0,0,0,0,0,0,0,3,4,0,9,6,5,3,6,8,4,4
25,2021-06-25 00:00:00,72,0,0,0,0,0,0,2,2,0,2,3,1,5,10,3,7,12,6,10,9
26,2021-07-02 00:00:00,79,0,0,0,0,3,1,0,0,2,6,2,6,4,4,6,6,13,10,7,9
27,2021-07-09 00:00:00,98,1,0,0,0,0,0,0,0,0,4,4,10,7,5,6,8,6,18,20,9
28,2021-07-16 00:00:00,163,0,0,0,0,0,1,2,2,3,4,5,8,9,10,19,9,34,19,21,17
29,2021-07-23 00:00:00,254,0,0,0,0,1,2,3,2,6,11,4,14,19,20,20,27,33,35,33,24
30,2021-07-30 00:00:00,311,0,0,0,0,0,1,0,3,8,3,14,19,12,23,32,31,45,40,46,34
31,2021-08-06 00:00:00,354,1,0,0,0,0,1,4,1,8,8,10,15,31,31,37,38,40,50,39,40
32,2021-08-13 00:00:00,336,0,0,0,0,0,3,2,2,5,6,11,14,27,26,29,29,46,61,44,31
33,2021-08-20 00:00:00,362,0,0,0,0,0,2,2,3,7,9,13,15,20,33,21,42,45,54,46,50
34,2021-08-27 00:00:00,432,0,0,0,0,0,0,2,3,6,6,9,17,20,27,39,46,63,81,69,44
35,2021-09-03 00:00:00,484,1,0,0,0,1,1,1,2,6,8,14,16,31,24,53,60,77,68,65,56
36,2021-09-10 00:00:00,510,0,0,0,0,0,2,0,2,4,12,15,14,31,31,35,69,67,89,88,51
37,2021-09-17 00:00:00,496,1,0,0,0,0,2,0,3,3,9,11,17,26,29,49,53,79,94,62,58
38,2021-09-24 00:00:00,455,0,0,0,1,0,0,2,1,2,2,9,11,28,33,36,54,59,84,76,57
39,2021-10-01 00:00:00,408,0,0,1,0,0,1,1,4,1,4,8,13,13,33,44,55,54,73,66,37
40,2021-10-08 00:00:00,396,0,0,0,0,0,0,0,2,1,4,11,17,15,23,18,46,70,73,60,56
41,2021-10-15 00:00:00,423,0,0,1,0,0,1,0,2,3,6,5,17,15,27,41,54,66,69,48,68
42,2021-10-22 00:00:00,500,0,0,0,0,0,0,1,2,2,5,11,12,21,35,40,63,62,98,78,70
43,2021-10-29 00:00:00,565,0,0,0,1,3,0,0,4,7,7,6,14,34,48,48,72,75,98,72,76
44,2021-11-05 00:00:00,604,0,0,0,0,0,0,0,1,5,6,9,22,26,29,74,87,108,96,67,74
45,2021-11-12 00:00:00,565,0,0,0,1,0,0,1,1,3,7,7,22,23,45,70,70,108,62,63,82
46,2021-11-19 00:00:00,534,0,0,0,0,0,0,0,2,4,8,16,19,26,38,48,70,102,63,79,59
47,2021-11-26 00:00:00,482,0,0,0,0,0,0,0,3,5,8,12,22,27,35,54,53,72,85,70,36
48,2021-12-03 00:00:00,453,0,0,0,0,0,1,2,5,4,6,14,14,31,34,40,66,62,58,66,50
49,2021-12-10 00:00:00,431,1,0,0,0,2,1,2,2,3,12,10,14,26,34,39,49,50,78,62,46
50,2021-12-17 00:00:00,427,0,1,0,0,0,1,0,4,7,11,15,18,28,38,40,41,55,60,59,49
51,2021-12-24 00:00:00,429,0,1,0,0,1,0,1,4,3,11,17,12,42,30,43,36,51,64,62,51
52,2021-12-31 00:00:00,480,0,0,0,0,1,0,4,4,4,4,12,16,26,48,33,54,56,75,75,68
1,2022-01-07 00:00:00,644,0,0,0,0,0,1,1,4,9,9,10,20,30,42,48,80,90,111,101,88
2,2022-01-14 00:00:00,817,3,0,0,0,2,1,1,3,4,2,9,23,30,37,67,75,120,113,165,162
3,2022-01-21 00:00:00,765,0,0,0,1,1,1,0,3,2,7,7,18,22,38,52,91,90,129,138,165
4,2022-01-28 00:00:00,680,0,0,0,0,1,0,1,1,1,3,12,11,22,44,28,62,90,130,145,129
5,2022-02-04 00:00:00,579,0,0,0,0,0,0,0,0,0,4,4,9,13,31,42,48,81,108,119,120
