0,UK,England and Wales,England,Wales,Scotland,Northern Ireland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West
2021-01-02 00:00:00,832,766,725,40,49,17,20,69,60,56,66,100,165,147,42
2021-01-03 00:00:00,807,744,684,59,48,15,26,73,47,49,53,108,145,147,36
2021-01-04 00:00:00,896,841,790,51,41,14,25,69,43,57,82,120,178,173,43
2021-01-05 00:00:00,968,908,854,54,44,16,37,87,43,65,79,139,190,166,48
2021-01-06 00:00:00,1014,947,882,64,55,12,27,101,52,65,87,126,175,206,43
2021-01-07 00:00:00,1053,977,915,59,48,28,31,86,54,55,93,153,193,200,50
2021-01-08 00:00:00,1051,987,922,65,50,14,33,94,52,64,108,135,189,202,45
2021-01-09 00:00:00,1092,1031,974,54,39,22,31,106,48,87,109,170,181,196,46
2021-01-10 00:00:00,1172,1093,1029,63,64,15,36,103,63,58,116,192,201,202,58
2021-01-11 00:00:00,1240,1155,1072,83,54,31,52,112,51,80,136,169,197,217,58
2021-01-12 00:00:00,1317,1236,1171,63,56,25,36,100,67,84,133,191,210,278,72
2021-01-13 00:00:00,1304,1227,1157,67,53,24,33,136,65,105,106,183,219,242,68
2021-01-14 00:00:00,1338,1240,1165,75,64,34,38,130,46,94,119,177,213,265,83
2021-01-15 00:00:00,1321,1228,1160,66,64,29,44,121,76,98,121,194,190,241,75
2021-01-16 00:00:00,1417,1317,1240,73,77,23,35,118,79,100,129,200,212,271,96
2021-01-17 00:00:00,1359,1274,1228,45,50,35,34,129,64,101,123,208,212,273,84
2021-01-18 00:00:00,1401,1305,1241,61,73,23,39,134,54,97,142,181,223,292,79
2021-01-19 00:00:00,1486,1381,1325,53,77,28,59,155,80,97,129,186,227,294,98
2021-01-20 00:00:00,1380,1289,1235,53,68,23,40,139,69,103,127,206,193,248,110
2021-01-21 00:00:00,1346,1260,1202,55,67,19,35,125,77,86,141,197,199,245,97
2021-01-22 00:00:00,1332,1240,1186,53,77,15,46,143,57,78,148,193,176,240,105
2021-01-23 00:00:00,1284,1202,1145,56,57,25,28,145,66,86,143,170,172,238,97
2021-01-24 00:00:00,1238,1147,1085,62,74,17,42,124,59,93,129,173,161,200,104
2021-01-25 00:00:00,1262,1187,1150,36,56,19,55,139,58,80,138,164,169,234,113
2021-01-26 00:00:00,1170,1100,1044,55,54,16,39,132,58,94,125,137,144,218,97
2021-01-27 00:00:00,1230,1144,1107,37,63,23,39,146,64,97,117,165,151,231,97
2021-01-28 00:00:00,1223,1153,1109,44,51,19,39,149,62,83,131,178,136,227,104
2021-01-29 00:00:00,1159,1073,1007,62,62,24,46,138,55,93,120,143,139,188,85
2021-01-30 00:00:00,1024,962,923,38,49,13,32,110,68,78,121,131,108,190,85
2021-01-31 00:00:00,992,924,896,27,51,17,39,132,61,82,112,133,114,151,72
2021-02-01 00:00:00,1005,933,891,38,49,23,35,136,62,83,118,115,113,164,65
2021-02-02 00:00:00,959,891,851,39,51,17,34,111,53,82,100,111,122,156,82
2021-02-03 00:00:00,971,911,868,43,52,8,37,123,63,77,102,125,124,153,64
2021-02-04 00:00:00,826,769,735,34,40,17,43,115,57,66,98,108,82,107,59
2021-02-05 00:00:00,872,807,769,33,50,15,38,113,63,68,86,104,107,126,64
2021-02-06 00:00:00,787,720,686,34,52,15,28,79,42,57,91,102,89,133,65
2021-02-07 00:00:00,752,693,664,28,48,11,28,88,36,71,96,92,84,105,64
2021-02-08 00:00:00,778,722,699,21,44,12,33,102,38,64,98,105,86,113,60
2021-02-09 00:00:00,723,659,628,29,58,6,27,98,39,77,79,91,68,95,54
2021-02-10 00:00:00,712,659,629,29,42,11,27,106,56,52,74,85,78,103,48
2021-02-11 00:00:00,675,617,589,27,45,13,19,93,57,54,79,86,64,99,38
2021-02-12 00:00:00,635,577,545,31,47,11,23,90,52,60,71,69,62,71,47
2021-02-13 00:00:00,585,542,511,31,35,8,23,89,48,44,69,58,63,78,39
2021-02-14 00:00:00,601,551,517,31,42,8,23,74,44,56,73,65,59,83,40
2021-02-15 00:00:00,611,564,547,16,39,8,31,71,38,71,75,80,55,91,35
2021-02-16 00:00:00,565,514,498,16,34,17,20,80,32,68,63,75,62,78,20
2021-02-17 00:00:00,505,457,437,18,35,13,16,66,38,40,61,58,58,68,32
2021-02-18 00:00:00,521,473,454,19,41,7,18,75,38,45,53,53,61,76,35
